tweets,likes,time,retweets
RT @annmarietimmins: DHHS has asked me to make this clarification: 30% of people being hospitalized with COVID-19 - not everyone hospitaliz…,0,2021-10-22 21:43:06+00:00,3
"RT @GandBLawyers: Singapore with one of the highest vaccination rates in the world, seeing spiralling deaths and covid-19 out of control. B…",0,2021-10-22 21:43:06+00:00,56
RT @Crof: Saskatoon hospital so full of COVID-19 patients it moved some into laundry room: doctor https://t.co/9g0ThZKdic,0,2021-10-22 21:43:06+00:00,3
"RT @mandophotos: A Day of the Dead ofrenda created by Isabel Hernandez, sits illuminated in her Pilsen yard to honor Chicagoans who have di…",0,2021-10-22 21:43:04+00:00,952
"RT @praveenausa: @hazydav @RepMattGaetz …       Not someone, something. It goes by COVID-19. The only way it can be stopped is by vaccine a…",0,2021-10-22 21:43:03+00:00,1
"The Alabama Hospital Association has released its daily statistics on the status of Alabama hospitals in treating people with COVID-19. The number of people in Alabama hospitals with COVID-19 is now getting close to falling below 500.
#alnews #alabamane... https://t.co/rE3AmtjUUC",0,2021-10-22 21:43:03+00:00,0
RT @SCMPNews: India recently administered its one billionth Covid-19 dose. About three quarters of adults in the country of 1.3 billion peo…,0,2021-10-22 21:43:03+00:00,4
"Cases: 242,870,434 (+3,013) 
Deaths: 4,935,686 (+52) 
Recovered: 0 (+0) 
Active Cases: 242,870,434 (100%)
Completed Cases: 4,935,686 (2.03%)
Mortality Rate: 2.03% (No Change)
Case Fatality Rate: 100.00% (No Change)

#COVID19 #Coronavirus #StayHome",0,2021-10-22 21:43:03+00:00,0
"COVID-19: Most visitors to Guelph hospital will need to show proof of vaccination - “No one will be denied care based on their vaccination status,” Skinner said.
 - https://t.co/6JdS64OB9d https://t.co/E0yJXtBJ5k",0,2021-10-22 21:43:03+00:00,0
RT @ScottMorrisonMP: Congratulations to my friend @narendramodi and his government for administering 1 billion doses of the COVID-19 vaccin…,0,2021-10-22 21:43:02+00:00,1980
"RT @peoplesvaccine: Pfizer and Moderna said it couldn't be done.

But @nytimes has found 10 companies across 3 continents that are strong c…",0,2021-10-22 21:43:02+00:00,14
"RT @cyrusshahpar46: Friday just in: +952K doses reported admin over yest total, including 276K newly vaccinated and 430K add'l doses/booste…",0,2021-10-22 21:43:02+00:00,106
"RT @justin_hart: ANOTHER fully vaccinated nursing home in the midst of a breakout. 
https://t.co/2vgSDTBhGl

this is not great news.",0,2021-10-22 21:43:02+00:00,162
"RT @BKarahalios: Last night, I participated in debate on Bill 12 - Mandatory COVID-19 Vaccinations in the Education and Healthcare Sectors…",0,2021-10-22 21:43:01+00:00,1826
RT @RepThomasMassie: The goalposts are moving. First they changed the definition of “vaccine.” Now they’re changing the definition of “full…,0,2021-10-22 21:43:01+00:00,683
"RT @MaidmentRos: We keep hearing about rising cases and Plan B just around the corner, but good news from ONS is that based on antibody tes…",0,2021-10-22 21:43:00+00:00,239
"Proof-of-COVID-19 vaccination required as B.C. Winter Games set to go ahead in Vernon 

https://t.co/0zgKn4E6k4",0,2021-10-22 21:43:00+00:00,0
RT @newsbht1: Maj.-Gen. Fortin appeals judge’s ruling on reinstatement to COVID-19 vaccine campaign | CBC News https://t.co/vZSezbcpbR,0,2021-10-22 21:43:00+00:00,1
RT @Reuters: Pfizer announced that their COVID-19 vaccine has proven to be more than 90% effective in children ages 5 to 11 in a clinical t…,0,2021-10-22 21:43:00+00:00,57
Governor Newsom’s COVID-19 Student Vaccine Proposed Mandate Information 10/22/21 https://t.co/EEkDVv7vI0,0,2021-10-22 21:43:00+00:00,0
"IS it covid-19?.......Secret United Nations Space Program Preparing for Alien Invasion,  ........ WRITTEN BY DR MICHAEL SALLA ON AUGUST 18, 2015. POSTED IN SPACE PROGRAMS, WORLD POLITICS https://t.co/bZ6pgKGEnL …",0,2021-10-22 21:43:00+00:00,0
