,tweets,likes,time,retweets,clean_tweets,polarity,subjectivity,sentiment
0,RT @annmarietimmins: DHHS has asked me to make this clarification: 30% of people being hospitalized with COVID-19 - not everyone hospitaliz…,0,2021-10-22 21:43:06+00:00,3,"['rt', 'annmarietimmins', 'dhhs', 'asked', 'make', 'clarification', 'people', 'hospitalized', 'covid', 'everyone', 'hospitaliz', '']",0.0,0.0,Neutral
1,"RT @GandBLawyers: Singapore with one of the highest vaccination rates in the world, seeing spiralling deaths and covid-19 out of control. B…",0,2021-10-22 21:43:06+00:00,56,"['rt', 'gandblawyers', 'singapore', 'one', 'highest', 'vaccination', 'rate', 'world', 'seeing', 'spiralling', 'death', 'covid', 'control', 'b', '']",0.0,0.0,Neutral
2,RT @Crof: Saskatoon hospital so full of COVID-19 patients it moved some into laundry room: doctor https://t.co/9g0ThZKdic,0,2021-10-22 21:43:06+00:00,3,"['rt', 'crof', 'saskatoon', 'hospital', 'full', 'covid', 'patient', 'moved', 'laundry', 'room', 'doctor', 'httpstcogthzkdic']",0.35,0.55,Positive
3,"RT @mandophotos: A Day of the Dead ofrenda created by Isabel Hernandez, sits illuminated in her Pilsen yard to honor Chicagoans who have di…",0,2021-10-22 21:43:04+00:00,952,"['rt', 'mandophotos', 'day', 'dead', 'ofrenda', 'created', 'isabel', 'hernandez', 'sits', 'illuminated', 'pilsen', 'yard', 'honor', 'chicagoans', 'di', '']",-0.2,0.4,Negative
4,"RT @praveenausa: @hazydav @RepMattGaetz …       Not someone, something. It goes by COVID-19. The only way it can be stopped is by vaccine a…",0,2021-10-22 21:43:03+00:00,1,"['rt', 'praveenausa', 'hazydav', 'repmattgaetz', 'someone', 'something', 'go', 'covid', 'way', 'stopped', 'vaccine', '']",0.0,1.0,Neutral
5,"The Alabama Hospital Association has released its daily statistics on the status of Alabama hospitals in treating people with COVID-19. The number of people in Alabama hospitals with COVID-19 is now getting close to falling below 500.
#alnews #alabamane... https://t.co/rE3AmtjUUC",0,2021-10-22 21:43:03+00:00,0,"['alabama', 'hospital', 'association', 'released', 'daily', 'statistic', 'status', 'alabama', 'hospital', 'treating', 'people', 'covid', 'number', 'people', 'alabama', 'hospital', 'covid', 'getting', 'close', 'falling', 'alnews', 'alabamane', 'httpstcoreamtjuuc']",0.0,0.0,Neutral
6,RT @SCMPNews: India recently administered its one billionth Covid-19 dose. About three quarters of adults in the country of 1.3 billion peo…,0,2021-10-22 21:43:03+00:00,4,"['rt', 'scmpnews', 'india', 'recently', 'administered', 'one', 'billionth', 'covid', 'dose', 'three', 'quarter', 'adult', 'country', 'billion', 'peo', '']",0.0,0.25,Neutral
7,"Cases: 242,870,434 (+3,013) 
Deaths: 4,935,686 (+52) 
Recovered: 0 (+0) 
Active Cases: 242,870,434 (100%)
Completed Cases: 4,935,686 (2.03%)
Mortality Rate: 2.03% (No Change)
Case Fatality Rate: 100.00% (No Change)

#COVID19 #Coronavirus #StayHome",0,2021-10-22 21:43:03+00:00,0,"['case', 'death', 'recovered', 'active', 'case', 'completed', 'case', 'mortality', 'rate', 'change', 'case', 'fatality', 'rate', 'change', 'covid', 'coronavirus', 'stayhome']",-0.13333333333333333,0.6,Negative
8,"COVID-19: Most visitors to Guelph hospital will need to show proof of vaccination - “No one will be denied care based on their vaccination status,” Skinner said.
 - https://t.co/6JdS64OB9d https://t.co/E0yJXtBJ5k",0,2021-10-22 21:43:03+00:00,0,"['covid', 'visitor', 'guelph', 'hospital', 'need', 'show', 'proof', 'vaccination', 'one', 'denied', 'care', 'based', 'vaccination', 'status', 'skinner', 'said', 'httpstcojdsobd', 'httpstcoeyjxtbjk']",0.5,0.5,Positive
9,RT @ScottMorrisonMP: Congratulations to my friend @narendramodi and his government for administering 1 billion doses of the COVID-19 vaccin…,0,2021-10-22 21:43:02+00:00,1980,"['rt', 'scottmorrisonmp', 'congratulation', 'friend', 'narendramodi', 'government', 'administering', 'billion', 'dos', 'covid', 'vaccin', '']",0.0,0.0,Neutral
